Stato,Posizione,PosizioneKalman,Velocità,VelocitàKalman,KalmanGain
0,-0.31780298297698495,0.17851349293919816,-6.3560596595396985,0.01193473809142494,0.009920195404619685
1,-0.8474019095990608,-1.8348550677468167,-4.235918872901817,-0.09000075033196483,0.019362363343421653
2,-1.5507271588924985,-3.568886205118363,-9.83058611296693,-0.25771236880908616,0.028448704061081912
3,-2.875102330212826,3.713605692839755,-16.65691731343962,0.8478675570537331,0.037196248033945674
4,-4.901081032098294,4.345724398565799,-23.862656724269733,0.9646073456704313,0.04561332064098575
5,-7.108043948542603,4.099355064883131,-20.27660160461643,0.8928513033886027,0.053697974622718865
6,-9.131971751559353,-5.368322529618482,-20.201954455718596,-1.75642682541406,0.061438338254168355
7,-11.254975866041388,-7.817571852842797,-22.258127833922096,-2.4633144655374175,0.06881458763174222
8,-12.692136361911052,-19.05252172734857,-6.485082083471214,-6.288116903535323,0.07580205576132827
9,-13.27925969817607,-36.31931485440302,-5.257384641829144,-12.590384685007615,0.08237488149555405
10,-14.472482764245608,-26.926013778093736,-18.607076679561622,-8.249947135770551,0.08850959698293162
11,-16.119047480819326,-41.49089255324195,-14.324217651912651,-14.156554828006755,0.09418814922329456
12,-17.41006001050633,-51.31878344419421,-11.496032941827462,-17.946913478325953,0.09940002117608432
13,-18.385077706181647,-39.14778004959837,-8.004320971678803,-11.370657687449803,0.10414331654616638
14,-19.25167128345923,-27.251283578265422,-9.327550573872829,-5.024111077169376,0.10842485465161844
15,-20.399393965651267,-13.880601518705264,-13.626903069967902,1.9221513253204652,0.11225945469578046
16,-22.03130150279143,-29.604558154949743,-19.01124767283534,-6.214865942062428,0.1156686584388589
17,-22.938547421806703,-32.618664730267845,0.8663292925299082,-7.454059558087662,0.11867915088019297
18,-22.592664718523878,-53.20763380484663,6.051324773126562,-17.97396866639439,0.12132110601157858
19,-21.61740654617081,-39.6306046022863,13.453838673934811,-9.693264523312882,0.12362662876961526
20,-20.278711428222625,-28.869565294475414,13.320063685028892,-3.3000735755695443,0.12562840254106797
21,-19.34818019744416,2.632739963964042,5.290560930540398,14.199319616920569,0.1273585960849693
22,-19.26462164118235,-13.69488117200044,-3.619389805304216,4.379471465918829,0.12884804076025708
23,-19.01470691359574,-12.365175789752012,8.617684357036454,4.886415971491596,0.1301256599964334
24,-18.190378462743528,11.046751295035502,7.868884660007881,17.74925434536859,0.13121811654886864
25,-17.07797228066741,13.098983374271569,14.379238981514437,17.915185573108428,0.1321496363956864
26,-15.716631639545115,-9.138305635853495,12.847573840931435,4.336222697670669,0.13294196807355488
27,-15.182201288205725,22.99844213660053,-2.1589668141436356,22.332761553242413,0.13361444012448548
28,-15.23927317685827,5.533496238928173,1.0175290410927609,11.136443241542786,0.13418408509118207
29,-15.155771571436299,16.60512054031348,0.6525030673466279,16.823862269583024,0.13466580476889242
30,-15.485515205154949,27.827500511078615,-7.2473757417196305,22.283153815561146,0.13507255736215448
31,-16.347256287295,15.623451261231784,-9.987445901081355,14.035735572037034,0.13541555237744918
32,-17.38452927307199,-4.037569478608962,-10.758013814458472,1.9781956102373908,0.13570444335151882
33,-18.30436224586599,10.224776298297181,-7.638645641421482,10.05374888206996,0.13594751187767032
34,-19.620287106471576,-3.1015694996311485,-18.67985157069019,1.836993948835799,0.13615183894273258
35,-21.044578041078996,-16.558307220478856,-9.805967121458231,-5.988826818810974,0.13632346145499746
36,-21.81587991892662,-19.942104476259427,-5.620070435494216,-7.579862431300688,0.1364675131632124
37,-22.889654379147892,-7.228025397986928,-15.855418768931255,0.1775180960125784,0.1365883500622893
38,-24.389919498487366,-2.847868882397191,-14.149883617858258,2.6970985292600043,0.13668966095862392
39,-26.716847448050594,-29.663030294251286,-32.38867537340622,-12.881843456671781,0.13677456421280837
40,-30.101168870842947,-41.948705616632964,-35.29775308244079,-19.20362843300677,0.13684569185753825
41,-34.14004249110288,-51.06176203864675,-45.47971932275804,-23.335951068521982,0.13690526235508757
42,-38.66362286732319,-60.787808713331216,-44.991888201648194,-27.584204113709728,0.13695514325004512
43,-43.43446561155461,-67.85498964700506,-50.42496668298017,-30.056724679315845,0.13699690491684555
44,-48.72604336097543,-79.34677501652371,-55.4065883054363,-34.93649620139239,0.13703186651769902
45,-53.58738127783805,-92.13287351267863,-41.820170031816204,-40.28152037721788,0.1370611351885096
46,-57.585431091395584,-68.02965167455014,-38.14082623933452,-24.059535413346183,0.13708563936749593
47,-61.273939075621705,-63.555719274409796,-35.62933344518802,-20.084559807879074,0.13710615707950138
48,-64.46240916233157,-29.518804476094772,-28.14006828900915,0.701643028700758,0.1371233398921254
49,-67.46323454662796,-56.64948240160393,-31.87643939691877,-14.968133353511762,0.13713773316994482
50,-70.19127318505092,-89.15267524448745,-22.68433337154039,-32.832481210450865,0.13714979317128073
51,-72.44788652784531,-101.37432039991114,-22.44793348434755,-37.975659417520326,0.13715990145850496
52,-74.3918219533566,-111.76126264880465,-16.430775025878184,-41.76479339202101,0.13716837702763632
53,-76.38728598834102,-114.38361532098601,-23.478505673810453,-40.8590829395178,0.1371754865055315
54,-77.8069538646579,-98.54801081810768,-4.91485185252732,-29.363741157238266,0.13718145271272916
55,-79.21768978134651,-74.03473862697065,-23.29986648124504,-13.527742679041271,0.13718646184631908
56,-81.39371106521907,-78.68660476521477,-20.220559196206093,-15.420181860563417,0.13719066949939634
57,-83.1019898414475,-70.97899681207568,-13.945016328362717,-10.077345211918296,0.13719420570106441
58,-84.43369769897006,-82.224697346578,-12.689140822088685,-15.970693811346363,0.13719717913294974
59,-85.92330961551457,-47.39270373138607,-17.10309750880153,5.043723307784187,0.13719968065421098